# neig  =       32
# vol   =  0.293147280E+04
# nspin, nspinor =        1       1
#       eig (eV)   abs(dipole)^2      Re(dipole)    Im(dipole)
  0.55256512E+01  0.21639428E+01  0.71011462E+00 -0.12882857E+01
  0.55256512E+01  0.21639428E+01  0.17339907E+00  0.14607791E+01
  0.55256512E+01  0.86557713E+01  0.22438290E+01 -0.19028933E+01
  0.56250512E+01  0.44233170E+00  0.64450591E+00  0.16414575E+00
  0.56250512E+01  0.14744378E+00 -0.36282719E+00 -0.12569888E+00
  0.65558484E+01  0.40174494E-16 -0.58315277E-08 -0.24835012E-08
  0.65558484E+01  0.43816627E-16  0.65468927E-08  0.97715076E-09
  0.69471712E+01  0.32681502E-01  0.17363796E+00  0.50312633E-01
  0.69471712E+01  0.10893827E-01 -0.97454790E-01 -0.37368312E-01
  0.78415568E+01  0.81727839E-14  0.83078216E-07  0.35648196E-07
  0.78415568E+01  0.13232438E-13 -0.10128223E-06 -0.54537579E-07
  0.86599201E+01  0.14767805E-17 -0.10523623E-08 -0.60771218E-09
  0.86599201E+01  0.65231440E-19  0.14828560E-09 -0.20794908E-09
  0.86599202E+01  0.83034679E-19  0.28597089E-09 -0.35430631E-10
  0.10619205E+02  0.33816603E-16  0.15700636E-08  0.55992413E-08
  0.10619205E+02  0.22200384E-17  0.12500161E-08  0.81086258E-09
  0.10619205E+02  0.12881320E-16 -0.21285313E-08 -0.28897534E-08
  0.13167542E+02  0.62769746E-17  0.25043820E-08  0.71030624E-10
  0.13167542E+02  0.57637172E-17  0.67144034E-09 -0.23049697E-08
  0.13167542E+02  0.54568609E-16 -0.20434939E-08 -0.70987845E-08
  0.13611569E+02  0.18863061E-16 -0.22961855E-08  0.36865423E-08
  0.13611569E+02  0.15839720E-15  0.12352367E-07 -0.24116852E-08
  0.13611569E+02  0.35596802E-15  0.15166155E-07 -0.11223002E-07
  0.13753474E+02  0.33022852E+01  0.12723830E+01  0.12974308E+01
  0.13753474E+02  0.33022852E+01  0.10560464E+01  0.14788682E+01
  0.13753474E+02  0.97996645E-18  0.87452188E-10 -0.98606215E-09
  0.16301811E+02  0.55782799E-01 -0.14866028E+00 -0.18352907E+00
  0.16301811E+02  0.16775634E-18 -0.28720209E-09 -0.29201250E-09
  0.16301811E+02  0.55782799E-01 -0.17344262E+00 -0.16031362E+00
  0.16745838E+02  0.26554518E+00 -0.35515237E+00 -0.37337913E+00
  0.16745838E+02  0.33979935E-16 -0.62557797E-09  0.57955662E-08
  0.16745838E+02  0.26554518E+00  0.33200956E+00  0.39410002E+00
